name,url,remote_testing,adaptive_irt,test_types,test_types_list,category,test_types_full,inferred_roles,embedding_text
Account Manager Solution,https://www.shl.com/products/product-catalog/view/account-manager-solution/,False,False,"C
P
A
B","['C', 'P', 'A', 'B']",Individual Test Solutions,"['Competencies', 'Personality & Behavior', 'Ability & Aptitude', 'Biodata & Situational Judgement']","['Manager', 'Team Lead']","Assessment Name: Account Manager Solution. Assessment Type: Competencies, Personality & Behavior, Ability & Aptitude, Biodata & Situational Judgement. Competencies assessment: Role-specific competencies and skills. Personality & Behavior assessment: Personality traits, work style, and behavior. Ability & Aptitude assessment: Cognitive abilities such as numerical, verbal, and logical reasoning. Biodata & Situational Judgement assessment: Past behavior and situational decision-making. Suitable for roles such as Manager, Team Lead"
Administrative Professional - Short Form,https://www.shl.com/products/product-catalog/view/administrative-professional-short-form/,False,False,"A
K
P","['A', 'K', 'P']",Individual Test Solutions,"['Ability & Aptitude', 'Knowledge & Skills', 'Personality & Behavior']",['General'],"Assessment Name: Administrative Professional - Short Form. Assessment Type: Ability & Aptitude, Knowledge & Skills, Personality & Behavior. Ability & Aptitude assessment: Cognitive abilities such as numerical, verbal, and logical reasoning. Knowledge & Skills assessment: Technical and functional knowledge assessment. Personality & Behavior assessment: Personality traits, work style, and behavior. Suitable for roles such as General"
Agency Manager Solution,https://www.shl.com/products/product-catalog/view/agency-manager-solution/,False,False,"A
B
P
S","['A', 'B', 'P', 'S']",Individual Test Solutions,"['Ability & Aptitude', 'Biodata & Situational Judgement', 'Personality & Behavior', 'Simulations']","['Manager', 'Team Lead']","Assessment Name: Agency Manager Solution. Assessment Type: Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations. Ability & Aptitude assessment: Cognitive abilities such as numerical, verbal, and logical reasoning. Biodata & Situational Judgement assessment: Past behavior and situational decision-making. Personality & Behavior assessment: Personality traits, work style, and behavior. Simulations assessment: Realistic simulations of job tasks. Suitable for roles such as Manager, Team Lead"
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,False,False,"B
P","['B', 'P']",Individual Test Solutions,"['Biodata & Situational Judgement', 'Personality & Behavior']",['General'],"Assessment Name: Apprentice + 8.0 Job Focused Assessment. Assessment Type: Biodata & Situational Judgement, Personality & Behavior. Biodata & Situational Judgement assessment: Past behavior and situational decision-making. Personality & Behavior assessment: Personality traits, work style, and behavior. Suitable for roles such as General"
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,False,False,"B
P","['B', 'P']",Individual Test Solutions,"['Biodata & Situational Judgement', 'Personality & Behavior']",['General'],"Assessment Name: Apprentice 8.0 Job Focused Assessment. Assessment Type: Biodata & Situational Judgement, Personality & Behavior. Biodata & Situational Judgement assessment: Past behavior and situational decision-making. Personality & Behavior assessment: Personality traits, work style, and behavior. Suitable for roles such as General"
Bank Administrative Assistant - Short Form,https://www.shl.com/products/product-catalog/view/bank-administrative-assistant-short-form/,False,False,"A
B
K
P","['A', 'B', 'K', 'P']",Individual Test Solutions,"['Ability & Aptitude', 'Biodata & Situational Judgement', 'Knowledge & Skills', 'Personality & Behavior']",['General'],"Assessment Name: Bank Administrative Assistant - Short Form. Assessment Type: Ability & Aptitude, Biodata & Situational Judgement, Knowledge & Skills, Personality & Behavior. Ability & Aptitude assessment: Cognitive abilities such as numerical, verbal, and logical reasoning. Biodata & Situational Judgement assessment: Past behavior and situational decision-making. Knowledge & Skills assessment: Technical and functional knowledge assessment. Personality & Behavior assessment: Personality traits, work style, and behavior. Suitable for roles such as General"
Bank Collections Agent - Short Form,https://www.shl.com/products/product-catalog/view/bank-collections-agent-short-form/,False,False,"A
B
P","['A', 'B', 'P']",Individual Test Solutions,"['Ability & Aptitude', 'Biodata & Situational Judgement', 'Personality & Behavior']",['General'],"Assessment Name: Bank Collections Agent - Short Form. Assessment Type: Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior. Ability & Aptitude assessment: Cognitive abilities such as numerical, verbal, and logical reasoning. Biodata & Situational Judgement assessment: Past behavior and situational decision-making. Personality & Behavior assessment: Personality traits, work style, and behavior. Suitable for roles such as General"
Bank Operations Supervisor - Short Form,https://www.shl.com/products/product-catalog/view/bank-operations-supervisor-short-form/,False,False,"A
B
P
S","['A', 'B', 'P', 'S']",Individual Test Solutions,"['Ability & Aptitude', 'Biodata & Situational Judgement', 'Personality & Behavior', 'Simulations']",['General'],"Assessment Name: Bank Operations Supervisor - Short Form. Assessment Type: Ability & Aptitude, Biodata & Situational Judgement, Personality & Behavior, Simulations. Ability & Aptitude assessment: Cognitive abilities such as numerical, verbal, and logical reasoning. Biodata & Situational Judgement assessment: Past behavior and situational decision-making. Personality & Behavior assessment: Personality traits, work style, and behavior. Simulations assessment: Realistic simulations of job tasks. Suitable for roles such as General"
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,False,False,"B
P
S
A","['B', 'P', 'S', 'A']",Individual Test Solutions,"['Biodata & Situational Judgement', 'Personality & Behavior', 'Simulations', 'Ability & Aptitude']",['General'],"Assessment Name: Bilingual Spanish Reservation Agent Solution. Assessment Type: Biodata & Situational Judgement, Personality & Behavior, Simulations, Ability & Aptitude. Biodata & Situational Judgement assessment: Past behavior and situational decision-making. Personality & Behavior assessment: Personality traits, work style, and behavior. Simulations assessment: Realistic simulations of job tasks. Ability & Aptitude assessment: Cognitive abilities such as numerical, verbal, and logical reasoning. Suitable for roles such as General"
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,False,False,"P
S
K
B
A","['P', 'S', 'K', 'B', 'A']",Individual Test Solutions,"['Personality & Behavior', 'Simulations', 'Knowledge & Skills', 'Biodata & Situational Judgement', 'Ability & Aptitude']",['General'],"Assessment Name: Bookkeeping, Accounting, Auditing Clerk Short Form. Assessment Type: Personality & Behavior, Simulations, Knowledge & Skills, Biodata & Situational Judgement, Ability & Aptitude. Personality & Behavior assessment: Personality traits, work style, and behavior. Simulations assessment: Realistic simulations of job tasks. Knowledge & Skills assessment: Technical and functional knowledge assessment. Biodata & Situational Judgement assessment: Past behavior and situational decision-making. Ability & Aptitude assessment: Cognitive abilities such as numerical, verbal, and logical reasoning. Suitable for roles such as General"
